Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4254298580429025,0.0,0.24052040086231774,0.0,1.5988184450525809,0.0,1.0,0.0,-1172027.7208939353,0.0,-1178490.3391623963,0.0
3,0.21089945770053908,0.0,0.11506573064143366,0.0,2.2412030966954313,0.0,1.0,0.0,-1173464.3590661653,0.0,-1183159.483693434,0.0
4,0.17339677782483098,0.012460607440635,0.09457761030032699,0.007375765103903774,2.4540976998774324,0.05574459327293102,0.5016181229773463,0.0,-1172205.2739994535,190.04107698972805,-1185132.9049855303,190.04107698972805
5,0.15206724170796487,0.0005188302779010334,0.08992267269278383,0.0003250211124776331,2.226011526792164,0.06852732339354572,0.5185486684498197,0.0,-1169881.9709247174,122.67908671416808,-1186042.1082696016,122.67908671416808
6,0.14616779414419603,0.006554221501695545,0.08881417886590759,0.0008036166970807683,1.99497582440237,0.009168861424605157,0.6310005651620416,0.0,-1166852.8811573489,101.18512420798652,-1186245.524861041,101.18512420798652
7,0.13545741375490716,0.0048048816328458005,0.08312912144795434,0.0016379525175754042,2.0028292167184967,0.1137594127488708,0.7025610002016536,0.0,-1164180.2524666297,19.98821957584005,-1186805.4025291298,19.98821957584005
8,0.13055676758629595,0.0002784693110969294,0.07798795070647377,0.003727153628029313,1.9579494305413518,0.1735243940465121,0.468072179769513,0.0,-1160947.4840785544,34.31918424589094,-1186805.140499862,34.31918424589094
9,0.13010394031329792,0.004879568516728508,0.07681201139516748,0.002974688015141738,1.8439266001216306,0.06355326954536245,0.49348224047008976,0.0,-1157811.7597175278,338.5606453741202,-1186901.9224976432,338.5606453741202
10,0.11010884351586922,0.009986116141153488,0.0625875397605017,0.004941239523169352,1.9418234584200738,0.04166136179984847,0.46522130968080283,0.0,-1153919.9293123316,366.504762618104,-1186242.598451255,366.504762618104
11,0.11131650994872148,0.011751408793975626,0.06018218214053962,0.0035410962797850815,1.8704921612920726,0.04296840513870215,0.47934668071654374,0.0,-1150412.025133205,299.2544633306097,-1185967.200630936,299.2544633306097
12,0.10524421665868496,0.008700523867422746,0.07090696271239877,0.0023605900422138393,1.7391215561579854,0.09084400252987734,0.5790461410758432,0.0,-1146997.9974849622,112.52011408167891,-1185785.679341501,112.52011408167891
13,0.11555521929544665,0.0006824738118720516,0.07331225391328519,0.0059928476074848636,1.7765049275335576,0.13974264158545646,0.5382305093229883,0.0,-1143311.9870622605,22.751421793480404,-1185332.175277607,22.751421793480404
14,0.11267616010110808,0.019227101891986495,0.07030590775017964,0.004974339471956989,1.6586458332839968,0.005518151656143777,0.5730596125520865,0.0,-1139524.7284053136,11.037965770461597,-1184777.422979468,11.037965770461597
